,,,,,,"Usage by your institution, 2008-2017 (except for downloads)",,,,,,,,,"OA articles in 1findr, 2008-2017",,,"Scopus, 2008-2017",,Subject Areas,,,Papers per journal/provider by your institution's authors (as measured in Scopus),,,,,,,,,,References to journal/provider by your institution's authors (as measured in Scopus),,,,,,,,,,OA papers in 1findr per journal/provider (intersection with Scopus),,,,,,,,,,% of OA papers in 1findr per journal/provider (intersection with Scopus),,,,,,,,,,Total papers in Scopus per journal/provider,,,,,,,,,,Downloads JR1,,,,JID,Journal Name(s) provided by the client
,Sort,Journal,ISSN/eISSN,Provider,Type,"Downloads 
JR1 2014-2017",Downloads JR1 2017,Downloads JR5 2017 in 2017,References,Papers,"Synthetic 
Usage","Journal 
Tier","Subfield 
,"8,257",Elsevier,,Elsevier,Package,,740070.00,153142.00,"112,743","5,593","1,842,390",10,7,9%,"1,044,877",28.20%,,"3,708,020",1.31,N/A,N/A,N/A,475,493,532,552,584,586,610,619,647,495,"4,740","5,947","7,886","9,809","11,585","12,566","14,522","15,716","17,667","12,305","99,921","104,621","104,284","109,370","109,796","117,473","122,339","117,649","102,608","56,816",31.10%,31.30%,31.50%,31.00%,30.50%,30.00%,30.20%,27.70%,23.00%,16.60%,"321,055","333,936","331,092","352,515","359,814","391,634","405,047","424,355","447,016","341,556",N/A,"773,791","740,070","444,266",,
,"11,060",Emerald,,Emerald,Package,,7403.00,513.00,341,33,"12,286",13,7,28%,"9,232",14.10%,,"65,436",0.81,N/A,N/A,N/A,3,4,2,3,2,4,4,5,5,1,13,6,16,25,22,36,37,59,73,54,"1,023","1,034","1,066","1,012",892,908,937,"1,008",932,420,18.00%,17.10%,17.10%,15.60%,13.80%,13.80%,13.50%,13.10%,11.00%,8.70%,"5,689","6,058","6,224","6,486","6,446","6,585","6,957","7,710","8,452","4,829","5,167","3,953","7,403","3,137",,
,"11,266",Gale,,Gale,Package,,1397.00,0.00,603,165,"14,752",9,4,88%,"9,912",26.80%,,"36,922",1.18,N/A,N/A,N/A,17,16,13,13,23,15,18,21,18,11,15,17,37,61,61,63,100,111,81,57,806,975,"1,106","1,096","1,151","1,148","1,284","1,003",952,391,26.00%,27.30%,29.70%,27.10%,28.20%,27.90%,29.00%,23.50%,24.60%,22.40%,"3,095","3,572","3,723","4,040","4,081","4,110","4,430","4,261","3,864","1,746","1,914","1,767","1,397","1,836",,
,"11,466",IEEE,,IEEE,Package,,36680.00,10201.00,"12,494",800,"108,305",12,11,21%,"157,962",36.70%,,"430,883",1.6,N/A,N/A,N/A,85,75,78,84,89,81,86,88,90,44,446,589,947,"1,142","1,249","1,498","1,653","1,717","2,230","1,023","15,745","15,924","16,505","16,942","17,326","18,846","19,290","15,466","15,642","6,276",40.60%,39.80%,41.50%,38.90%,37.30%,38.50%,37.90%,34.30%,31.10%,23.20%,"38,800","40,016","39,785","43,581","46,420","49,011","50,891","45,057","50,246","27,076","39,814","26,344","36,680","18,131",,
,"11,732",IOPscience,,IOPscience,Package,,31088.00,4507.00,"30,479","1,262","313,205",7,9,11%,"145,883",58.80%,,"248,098",1.03,N/A,N/A,N/A,104,92,132,150,149,139,131,139,147,79,920,"1,412","2,277","2,982","3,481","3,904","4,467","3,959","4,535","2,542","14,177","16,046","14,501","15,394","16,402","16,012","15,642","15,050","15,187","7,472",56.50%,62.60%,59.10%,60.30%,61.60%,60.20%,60.50%,54.90%,58.40%,50.50%,"25,105","25,651","24,517","25,522","26,631","26,604","25,861","27,414","26,003","14,790","19,662","20,844","31,088","13,281",,
,"11,809",JSTOR,,JSTOR,Package,,231188.00,553.00,"44,762","2,520","710,857",10,6,78%,"291,844",47.70%,,"611,952",1.53,N/A,N/A,N/A,234,271,233,255,272,265,290,280,262,158,"1,552","2,524","3,069","3,650","4,950","4,835","5,814","6,362","7,005","5,001","30,130","31,593","31,840","32,229","31,759","31,841","31,920","29,909","27,537","13,086",51.10%,51.30%,51.20%,50.70%,49.40%,48.20%,47.50%,45.10%,42.40%,35.50%,"58,939","61,530","62,142","63,606","64,329","66,038","67,246","66,314","64,922","36,886","226,073","199,997","231,188","131,965",,
,"13,409",Karger,,Karger,Package,,3624.00,0.00,"1,446",64,"17,034",13,4,19%,"24,750",41.20%,,"60,023",0.91,N/A,N/A,N/A,8,4,14,5,6,2,6,10,5,4,88,69,133,133,141,129,177,213,219,144,"1,479","1,789","2,372","2,668","2,832","2,796","2,889","3,047","3,278","1,600",28.10%,31.80%,40.70%,44.50%,48.40%,45.70%,38.60%,46.10%,44.90%,40.60%,"5,272","5,626","5,831","6,000","5,854","6,112","7,480","6,607","7,303","3,938","3,539","3,311","3,624","2,188",,
,"13,506",MIT Press,,MIT Press,Package,,2337.00,227.00,324,34,"6,951",8,6.5,96%,"4,165",48.90%,,"8,521",1.83,N/A,N/A,N/A,2,4,2,5,3,5,3,3,7,0,9,16,25,38,39,36,36,49,52,24,449,424,461,610,470,444,471,391,306,139,54.60%,55.90%,55.10%,61.10%,49.80%,48.90%,45.20%,43.20%,37.40%,28.50%,822,758,836,999,944,908,"1,043",906,818,487,"1,692","1,986","2,337","1,023",,
,"13,535",Modern Language Association,,Modern Language Association,Package,,300.00,85.00,13,11,"1,446",3,2,100%,54,7.60%,,711,3.42,N/A,N/A,N/A,0,1,0,1,2,2,0,3,2,0,0,0,0,3,2,0,1,3,4,0,3,10,6,7,7,5,1,10,4,1,5.80%,9.20%,8.00%,9.90%,9.20%,7.40%,2.10%,11.00%,3.80%,5.90%,52,109,75,71,76,68,48,91,104,17,253,266,300,137,,
,"13,537",Ovid,,Ovid,Package,,120975.00,26615.00,"35,898","1,670","467,014",5.5,4,28%,"160,647",38.40%,,"418,446",1.37,N/A,N/A,N/A,185,146,159,156,178,170,149,157,225,145,"1,573","2,081","2,669","3,052","3,767","4,239","4,416","4,874","5,489","3,738","15,078","16,333","16,749","17,073","16,591","17,286","17,441","17,673","17,543","8,880",35.70%,38.00%,38.60%,39.20%,38.90%,40.60%,41.20%,40.20%,39.00%,29.90%,"42,204","43,036","43,432","43,576","42,634","42,573","42,342","43,915","44,997","29,737","92,847","92,754","120,975","42,964",,
